# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 16 20:49:11 2026
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%Transit%'
# CONSTRAINT:  and pl_orbper < 10
# CONSTRAINT:  and pl_rade > 8)
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
#
pl_name,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
HATS-72 b,Transit,7.32794740000,0.00000160000,-0.00000160000,0,0.0665170000,0.0000850000,-0.0000850000,0,8.09738160,0.03586880,-0.03586880,0,39.85588200,1.23953700,-1.23953700,0,49.5800,0.4400,-0.4300,0,739.30,1.60,-1.60,0,4656.10,8.90,-8.90,0,0.721400,0.002100,-0.002100,0,0.731100,0.002800,-0.002800,0,0.0990,0.0140,-0.0140,0,4.585300,0.002100,-0.002100,0
TOI-2000 c,Transit,9.12705500000,0.00000730000,-0.00000720000,0,0.0878000000,0.0016000000,-0.0014000000,0,8.14000000,0.31000000,-0.30000000,0,81.70000000,4.70000000,-4.60000000,0,149.0000,12.0000,-10.0000,0,1038.00,84.00,-111.00,0,5611.00,85.00,-82.00,0,1.134000,0.037000,-0.036000,0,1.082000,0.059000,-0.050000,0,0.4390,0.0410,-0.0430,0,4.363000,0.034000,-0.032000,0
K2-281 b,Transit,8.68772100000,0.00015100000,-0.00015000000,0,0.0773000000,0.0008000000,-0.0008000000,0,8.18000000,0.21000000,-0.21000000,0,50.90000000,,,0,,,,,665.00,12.00,-12.00,0,4812.00,72.00,-72.00,0,0.760000,0.010000,-0.010000,0,0.820000,0.030000,-0.030000,0,0.2200,0.0500,-0.0500,0,4.590000,0.020000,-0.020000,0
Kepler-703 b,Transit,4.58352175600,0.00000173300,-0.00000173300,0,0.0535000000,,,0,8.20000000,3.71000000,-1.39000000,0,51.10000000,,,0,373.1080,35.2400,-31.5370,0,1038.00,,,0,6185.00,197.61,-248.39,0,1.270000,0.574000,-0.215000,0,1.180000,0.198000,-0.122000,0,0.0500,0.1390,-0.1470,0,4.290000,0.126000,-0.252000,0
TOI-3629 b,Transit,3.93655100000,0.00000500000,-0.00000600000,0,0.0430000000,0.0020000000,-0.0020000000,0,8.29464572,0.22417961,-0.22417961,0,82.63538582,6.35656814,-6.35656814,0,39.0000,4.0000,-4.0000,0,690.00,20.00,-20.00,0,3870.00,90.00,-90.00,0,0.600000,0.020000,-0.010000,0,0.630000,0.020000,-0.020000,0,0.4000,0.1000,-0.1000,0,4.670000,0.050000,-0.050000,0
TOI-762 A b,Transit,3.47168260000,0.00000072000,-0.00000072000,0,0.0341800000,0.0006500000,-0.0006500000,0,8.33948164,0.19055267,-0.19055267,0,79.77493016,13.34879309,-13.34879309,0,17.0012,,,0,555.40,6.40,-6.40,0,3266.00,36.00,-36.00,0,0.425000,0.009100,-0.009100,0,0.442000,0.025000,-0.025000,0,0.3570,0.0850,-0.0850,0,4.827000,0.010000,-0.010000,0
Kepler-855 b,Transit,7.88663110400,0.00000246500,-0.00000246500,0,0.0762000000,,,0,8.35000000,1.70000000,-0.81000000,0,52.70000000,,,0,405.1830,34.1760,-30.9290,0,996.00,,,0,5835.00,99.82,-156.07,0,1.030000,0.210000,-0.100000,0,1.030000,0.065000,-0.066000,0,0.0600,0.1460,-0.1580,0,4.420000,0.072000,-0.149000,0
K2-127 b,Transit,3.58816300000,0.00002800000,-0.00002900000,0,0.0411000000,0.0002000000,-0.0002000000,0,8.37000000,0.33000000,-0.33000000,0,52.90000000,,,0,105.6000,20.7000,-17.8000,0,809.00,15.00,-15.00,0,4575.00,74.00,-74.00,0,0.660000,0.010000,-0.010000,0,0.720000,0.010000,-0.010000,0,-0.1100,0.0600,-0.0600,0,4.650000,0.010000,-0.010000,0
Kepler-720 b,Transit,4.70832654200,0.00000073400,-0.00000073400,0,0.0539000000,,,0,8.41000000,1.61000000,-0.80000000,0,53.40000000,,,0,384.5610,29.6340,-27.1310,0,1162.00,,,0,5618.00,328.49,-250.53,0,0.920000,0.176000,-0.087000,0,0.950000,0.111000,-0.068000,0,0.0000,0.1440,-0.1770,0,4.490000,0.065000,-0.119000,0
WASP-148 b,Transit,8.80380900000,0.00004300000,-0.00004300000,0,0.0821500000,0.0008600000,-0.0015000000,0,8.47398941,0.14571675,-0.19055267,0,91.21675281,6.99222495,-5.08525451,0,72.6990,,,0,940.00,80.00,-80.00,0,5555.00,90.00,-90.00,0,0.912000,0.014000,-0.014000,0,0.954000,0.030000,-0.052000,0,0.0990,0.0780,-0.0780,0,4.496000,0.022000,-0.028000,0
Kepler-719 b,Transit,5.00731777900,0.00000125300,-0.00000125300,0,0.0556000000,,,0,8.52000000,1.83000000,-0.90000000,0,54.50000000,,,0,234.2800,170.6000,-64.0200,0,998.00,,,0,5777.00,199.43,-220.79,0,0.980000,0.210000,-0.103000,0,0.990000,0.080000,-0.070000,0,-0.0200,0.1350,-0.1760,0,4.450000,0.075000,-0.154000,0
HATS-49 b,Transit,4.14804670000,0.00000370000,-0.00000370000,0,0.0451500000,0.0001600000,-0.0001600000,0,8.57488500,0.14571700,-0.14571700,0,112.19399000,12.07754000,-8.58141000,0,80.4500,1.3700,-1.3400,0,834.80,3.60,-3.60,0,4405.00,15.00,-15.00,0,0.697700,0.005500,-0.005500,0,0.713300,0.007500,-0.007500,0,0.2080,0.0530,-0.0530,0,4.603600,0.007700,-0.007700,0
WASP-18 c,Transit Timing Variations,2.15580000000,0.00640000000,-0.00640000000,0,0.0350000000,,,0,8.58000000,,,0,55.20000000,12.30000000,-12.30000000,0,,,,,,,,,6400.00,,,0,1.230000,,,0,1.220000,,,0,0.1070,0.0800,-0.0800,0,4.366000,0.026000,-0.026000,0
TOI-2364 b,Transit,4.01975170000,0.00000430000,-0.00000430000,0,0.0487100000,0.0006900000,-0.0007900000,0,8.60849718,0.25780656,-0.20176165,0,71.51139158,13.66662150,-15.57359194,0,237.0000,15.0000,-12.0000,0,1091.00,17.00,-14.00,0,5306.00,76.00,-68.00,0,0.886000,0.021000,-0.017000,0,0.954000,0.041000,-0.046000,0,0.3440,0.0850,-0.0850,0,4.524000,0.018000,-0.029000,0
WASP-29 b,Transit,3.92273000000,0.00000400000,-0.00000400000,0,0.0457000000,0.0006000000,-0.0006000000,0,8.63093000,0.78463000,-0.78463000,0,73.10090000,15.89150000,-15.89150000,0,121.7724,,,0,970.00,32.00,-31.00,0,4800.00,150.00,-150.00,0,0.790000,0.070000,-0.070000,0,0.770000,0.250000,-0.250000,0,0.1100,,,0,4.500000,0.200000,-0.200000,0
WASP-59 b,Transit,7.91958500000,0.00001000000,-0.00001000000,0,0.0697000000,0.0011000000,-0.0011000000,0,8.68700000,0.76200000,-0.76200000,0,274.27600000,14.30200000,-14.30200000,0,38.0328,,,0,670.00,35.00,-35.00,0,4650.00,150.00,-150.00,0,0.613000,0.044000,-0.044000,0,0.719000,0.035000,-0.035000,0,-0.1500,0.1100,-0.1100,0,4.720000,0.060000,-0.060000,0
TOI-4860 b,Transit,1.52275910000,0.00000030000,-0.00000030000,0,0.0180800000,0.0001500000,-0.0001500000,0,8.70000000,0.40000000,-0.40000000,0,86.70000000,1.90000000,-1.90000000,0,42.5000,1.9000,-1.9000,0,694.00,15.00,-15.00,0,3260.00,50.00,-50.00,0,0.358000,0.015000,-0.015000,0,0.340000,0.009000,-0.009000,0,0.2700,0.1200,-0.1200,0,4.860000,0.040000,-0.040000,0
